text,label
"Government passes new education reform bill after parliamentary debate",REAL
"Scientists discover new species in the Amazon rainforest",REAL
"Stock markets rise after positive economic growth report",REAL
"Local hospital opens new cancer treatment center",REAL
"NASA announces successful test of new rocket engine",REAL
"City council approves new public transportation system",REAL
"Researchers develop vaccine showing promising early results",REAL
"International summit held to discuss climate change policies",REAL
"Fake cure for diabetes discovered in small village",FAKE
"Aliens secretly living inside the Earth's core, experts claim",FAKE
"Drinking hot water every hour cures all diseases instantly",FAKE
"Government plans to ban oxygen starting next year",FAKE
"Secret society controls world weather using hidden machines",FAKE
"Scientists confirm chocolate can replace all medicines",FAKE
"Celebrity adopts alien baby from Mars",FAKE
"Time traveler warns of zombie apocalypse next month",FAKE
"New law requires citizens to wear helmets indoors",FAKE
"Economy grows by 3 percent in last quarter",REAL
"University researchers publish breakthrough cancer study",REAL
"Central bank reduces interest rates to boost economy",REAL
